username   time      method  path
bobby      [1100]    POST    /index.html

bobby      [1100]    POST    /index.html
bobby      [1100]    POST    /334er4/index.html
bobby      [1100]    POST    /index.html
bobby      [1100]    POST    /index.html
bobby      [1100]    POST    /index.html
bobby      [1100]    POST    /index.html
bobby      [1100]    POST    /dsfhjksdfjhds/index.html
bobby      [1100]    POST    /33/index.html
bobby      [1100]    POST    //index.html
bobby      [1100]    POST    /index.html
bobby      [1100]    POST    /index.html
bobby      [1100]    POSHT    /index.html
bobby      [1162]    post    /index.html

bobby      [1100]    POST    /index.html
bobby      [1100]    POST    /index.html
bobby      [1100]    POST    /index.html
bobby      [1100]    POST    /index.html
bobby      [1100]    POST    /index.html
bobby      [1132]    POST    /index.html
sally      [1100]    POST    /index.html
bobby      [1100]    POST    /index.html
bobby      [1100]    POST    /index.html
bobby      [1100]    POST    /index.html
111      [1100]    POST    /index.html
bobby      [1100]    POST    /index.html
bobby      [1100]    POST    /index.html
bobby      [1100]    POST    /index.html
bobby      [1100]    POST    /index.html
bobby      [1100]    POST    /index.html
bobby      [1100]    POST    /index.html
bobby      [1100]    POST    /index.html
bobby      [1100]    POST    /index.html
bobby      [1100]    POST    /index.html
bobby      [1100]    POST    /index.html
bobby      [1100]    POST    /index.html
bobby      [1100]    POST    /index.html
bobby      [1100]    POST    /index.html
bobby      [1100]    POST    /index.html

bobby      [1100]    POST    /index.html
bobby      [1100]    POST     index.html
bobby      [1100]    POST    /index.html
bobby[1100]POST/index.html
bobby      [1100]    POST    /index.html
bobby      [1100]    POST    /index.html
bobby      [1100]    POST    /index.html
bobby      [1100]    POST    /index.html
bobby      [1100]    POST    /index.html
bobby  [1100]    POST    /index.html
bobby      [1100]    POST    /index.html
bobby      [1100]    POST    /index.html
bobby      [1100]    POST    /index.html
Bobby      [1100]    POST    /index.html
bobby      [700]     GET    /index.html
System     [701]     ERROR
